Altium Designer Pick and Place Locations
D:\Users\MUSTAFA\Desktop\Altium_Projects\Udemy_ADAK\Project Outputs for Udemy_ADAK\Pick Place for Udemy_ADAK_PCB.csv

========================================================================================================================
File Design Information:

Date:       07.05.23
Time:       00:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"BR1","DB105S","TopLayer","DB105S","1231.890","1893.464","90",""
"BZ1","CMI-9605-0580T","TopLayer","CMI-9605","226.575","1173.228","180",""
"C1","CL21B105KBFNNNE","TopLayer","CAP_0805","1181.102","1594.252","270",""
"C2","C0603C104K4RAC7867","TopLayer","CAP_0603","1240.158","1594.252","270",""
"C3","CL21A475KAQNNNE","TopLayer","CAP_0805","1590.551","1531.496","90",""
"C4","CL21B105KBFNNNE","TopLayer","CAP_0805","1454.331","1346.457","0",""
"C5","CL21A475KAQNNNE","TopLayer","CAP_0805","2562.992","283.464","90",""
"C6","CL21A475KAQNNNE","TopLayer","CAP_0805","2488.197","438.976","90",""
"C7","CL21A475KAQNNNE","TopLayer","CAP_0805","2555.126","438.976","90",""
"C8","CL21B105KBFNNNE","TopLayer","CAP_0805","2622.055","438.976","90",""
"C9","0603B103K160CT","TopLayer","CAP_0603","1023.229","1180.866","180",""
"C10","EEV686M035A9HAA","TopLayer","CAP_EEV/SERIES","928.740","1582.441","180",""
"C11","CL21B105KBFNNNE","TopLayer","CAP_0805","787.008","1338.583","270",""
"C12","CL21B104KBCNNNC","TopLayer","CAP_0805","716.535","1338.583","270",""
"C13","ESH477M050AH4AA","TopLayer","CAP_RADIAL_D10_P5","244.095","2795.275","225",""
"C14","ESH477M050AH4AA","TopLayer","CAP_RADIAL_D10_P5","244.095","2322.834","225",""
"C15","CL21A475KAQNNNE","TopLayer","CAP_0805","1822.831","1777.559","90",""
"C16","CL21B105KBFNNNE","TopLayer","CAP_0805","1893.701","1777.559","90",""
"C17","C0603C104K4RAC7867","TopLayer","CAP_0603","2003.941","1740.158","0",""
"C18","C0603C104K4RAC7867","TopLayer","CAP_0603","2456.693","1594.488","180",""
"C19","C0603C104K4RAC7867","TopLayer","CAP_0603","2379.925","1263.780","180",""
"C20","C0603C104K4RAC7867","TopLayer","CAP_0603","1925.197","1301.177","90",""
"C21","C0603C104K4RAC7867","TopLayer","CAP_0603","1801.181","1267.716","0",""
"C22","CL10C200JB8NNNC","TopLayer","CAP_0603","1677.165","1393.701","0",""
"C23","CL10C200JB8NNNC","TopLayer","CAP_0603","1736.216","1637.795","0",""
"C24","CL21A475KAQNNNE","TopLayer","CAP_0805","358.268","181.102","0",""
"C25","CL21B104KBCNNNC","TopLayer","CAP_0805","358.268","118.110","0",""
"C26","CL21B105KBFNNNE","TopLayer","CAP_0805","358.268","55.118","0",""
"C27","CL21B104KBCNNNC","TopLayer","CAP_0805","1937.008","1139.756","270",""
"C28","CL21B105KBFNNNE","TopLayer","CAP_0805","1864.473","1139.756","270",""
"C29","ESH477M050AH4AA","TopLayer","CAP_RADIAL_D10_P5","1334.646","944.882","225",""
"C30","CL21B105KBFNNNE","TopLayer","CAP_0805","2631.890","946.850","90",""
"C31","CL21B104KBCNNNC","TopLayer","CAP_0805","2564.961","946.850","90",""
"C32","CL21B104KBCNNNC","TopLayer","CAP_0805","464.961","1309.055","270",""
"C33","CL21A475KAQNNNE","BottomLayer","CAP_0805","3159.449","165.362","0",""
"C34","CL21B105KBFNNNE","BottomLayer","CAP_0805","3133.858","257.882","90",""
"C35","C0603C104K4RAC7867","BottomLayer","CAP_0603","3507.874","133.862","270",""
"C36","CL21B104KBCNNNC","BottomLayer","CAP_0805","3480.315","564.961","180",""
"C37","CL21B104KBCNNNC","BottomLayer","CAP_0805","3503.937","671.260","270",""
"C38","CL21A475KAQNNNE","BottomLayer","CAP_0805","3133.858","425.197","90",""
"C39","CL21A475KAQNNNE","BottomLayer","CAP_0805","3200.787","425.197","90",""
"C40","CL21B105KBFNNNE","BottomLayer","CAP_0805","3267.716","425.197","90",""
"C41","C2012X5R1A336M125AC","BottomLayer","CAP_0805","3631.890","726.378","270",""
"C42","0603B103K160CT","BottomLayer","CAP_0603","3513.780","795.272","270",""
"C43","CL21B104KBCNNNC","BottomLayer","CAP_0805","3002.175","894.505","90",""
"C44","C2012X5R1A336M125AC","BottomLayer","CAP_0805","3631.890","864.173","90",""
"C45","0603B103K160CT","BottomLayer","CAP_0603","3202.760","992.126","180",""
"C46","CL21B105KBFNNNE","BottomLayer","CAP_0805","3202.756","1055.118","180",""
